t_s,Vdc_V_Cdc4mF,Vdc_V_Cdc8mF,Vdc_V_Cdc16mF
0.277139,799.686,798.572,798.557
0.277639,792.286,798.637,798.563
0.278139,791.956,798.655,798.567
0.278639,799.036,798.617,798.569
0.27914,805.546,798.547,798.568
0.27964,804.188,798.486,798.565
0.28014,796.526,798.47,798.56
0.28064,791.182,798.507,798.556
0.281141,794.138,798.574,798.553
0.281641,802.041,798.631,798.552
0.282141,805.999,798.645,798.554
0.282641,801.595,798.609,798.557
0.283142,793.81,798.545,798.561
0.283642,791.388,798.492,798.565
0.284142,797.022,798.48,798.567
0.284642,804.354,798.515,798.567
0.285143,805.149,798.576,798.565
0.285643,798.552,798.625,798.561
0.286143,791.996,798.635,798.557
0.286643,792.832,798.601,798.555
0.287144,800.09,798.544,798.554
0.287644,805.595,798.497,798.554
0.288144,803.182,798.489,798.557
0.288644,795.599,798.522,798.56
0.289145,791.372,798.577,798.563
0.289645,795.227,798.62,798.565
0.290145,802.803,798.627,798.566
0.290645,805.581,798.595,798.564
0.291146,800.472,798.543,798.562
0.291646,793.244,798.503,798.559
0.292146,792.012,798.497,798.556
0.292646,798.131,798.528,798.555
0.293147,804.701,798.577,798.555
0.293647,804.35,798.615,798.557
0.294147,797.509,798.619,798.559
0.294647,791.88,798.589,798.562
0.295148,793.769,798.542,798.564
0.295648,801.024,798.507,798.565
0.296148,805.478,798.504,798.564
0.296648,802.151,798.533,798.562
0.297149,794.814,798.577,798.56
0.297649,791.712,798.61,798.557
0.298149,796.306,798.613,798.556
0.298649,803.406,798.584,798.556
0.29915,805.034,798.542,798.557
0.29965,799.394,798.512,798.559
0.30015,792.847,798.51,798.561
0.30065,792.737,798.538,798.563
0.301151,799.16,798.577,798.564
0.301651,804.878,798.606,798.563
0.302151,803.481,798.606,798.562
0.302651,796.573,798.58,798.56
0.303152,791.927,798.542,798.558
0.303652,794.742,798.516,798.557
0.304152,801.826,798.516,798.557
0.304652,805.211,798.542,798.557
0.305153,801.12,798.577,798.559
0.305653,794.179,798.602,798.56
0.306153,792.183,798.601,798.562
0.306653,797.35,798.576,798.563
0.307154,803.849,798.543,798.563
0.307654,804.382,798.52,798.562
0.308154,798.384,798.521,798.56
0.308654,792.613,798.545,798.559
0.309155,793.538,798.577,798.558
0.309655,800.093,798.598,798.557
0.310155,804.895,798.596,798.558
0.310655,802.568,798.573,798.559
0.311156,795.759,798.543,798.56
0.311656,792.123,798.524,798.561
0.312156,795.724,798.526,798.562
0.312656,802.489,798.548,798.562
0.313157,804.813,798.576,798.562
0.313657,800.113,798.594,798.561
0.314157,793.695,798.592,798.559
0.314657,792.763,798.57,798.558
0.315158,798.338,798.544,798.558
0.315658,804.135,798.527,798.558
0.316158,803.649,798.53,798.559
0.316658,797.46,798.551,798.56
0.317159,792.534,798.576,798.561
0.317659,794.39,798.591,798.562
0.318159,800.915,798.588,798.562
0.318659,804.765,798.568,798.562
0.31916,801.637,798.544,798.561
0.31966,795.074,798.53,798.56
0.32016,792.451,798.534,798.559
0.32066,796.693,798.553,798.558
0.321161,803.008,798.575,798.558
0.321661,804.302,798.588,798.559
0.322161,799.151,798.584,798.559
0.322661,793.362,798.566,798.56
0.323162,793.43,798.545,798.561
0.323662,799.252,798.533,798.561
0.324162,804.269,798.537,798.561
0.324662,802.857,798.554,798.561
0.325163,796.634,798.574,798.56
0.325663,792.601,798.585,798.559
0.326163,795.27,798.581,798.559
0.326663,801.617,798.565,798.559
0.327164,804.503,798.546,798.559
0.327664,800.71,798.536,798.559
0.328164,794.525,798.54,798.56
0.328664,792.894,798.556,798.561
0.329165,797.627,798.574,798.561
0.329665,803.383,798.583,798.561
0.330165,803.7,798.578,798.561
0.330665,798.252,798.563,798.56
0.331166,793.176,798.547,798.559
0.331666,794.162,798.538,798.559
0.332166,800.077,798.543,798.559
0.332666,804.261,798.557,798.559
0.333167,802.03,798.573,798.559
0.333667,795.92,798.58,798.56
0.334167,792.799,798.576,798.56
0.334667,796.155,798.562,798.561
0.335168,802.192,798.547,798.561
0.335668,804.125,798.54,798.561
0.336168,799.807,798.545,798.56
0.336668,794.112,798.558,798.56
0.337169,793.432,798.572,798.559
0.337669,798.507,798.578,798.559
0.338169,803.616,798.574,798.559
0.338669,803.028,798.561,798.559
0.33917,797.433,798.548,798.56
0.33967,793.128,798.542,798.56
0.34017,794.936,798.547,798.561
0.34067,800.8,798.559,798.561
0.341171,804.122,798.571,798.561
0.341671,801.189,798.576,798.56
0.342171,795.323,798.572,798.56
0.342671,793.115,798.56,798.559
0.343172,797.024,798.549,798.559
0.343672,802.638,798.544,798.559
0.344172,803.649,798.549,798.559
0.344672,798.948,798.56,798.56
0.345173,793.835,798.57,798.56
0.345673,794.045,798.575,798.56
0.346173,799.318,798.57,798.561
0.346673,803.715,798.56,798.56
0.347174,802.308,798.55,798.56
0.347674,796.705,798.546,798.56
0.348174,793.21,798.55,798.56
0.348674,795.732,798.56,798.559
0.349175,801.414,798.57,798.559
0.349675,803.866,798.573,798.559
0.350175,800.356,798.569,798.56
0.350675,794.849,798.559,798.56
0.351176,793.53,798.551,798.56
0.351676,797.859,798.547,798.56
0.352176,802.953,798.552,798.56
0.352676,803.094,798.561,798.56
0.353177,798.15,798.569,798.56
0.353677,793.69,798.572,798.56
0.354177,794.713,798.568,798.56
0.354677,800.047,798.559,798.559
0.355178,803.686,798.551,798.559
0.355678,801.558,798.549,798.56
0.356178,796.079,798.553,798.56
0.356678,793.408,798.561,798.56
0.357179,796.528,798.568,798.56
0.357679,801.912,798.57,798.56
0.358179,803.509,798.566,798.56
