f_Hz,absZdd_ohm,angZdd_deg,absZqq_ohm,angZqq_deg,absZdq_ohm,absZqd_ohm
3882.79,22.3766,89.3762,22.3766,89.3762,0.285779,0.285788
3953.57,22.8564,89.4059,22.8564,89.4059,0.286667,0.286675
4025.63,23.3438,89.4341,23.3438,89.4341,0.287531,0.287538
4099,23.8388,89.4607,23.8388,89.4607,0.288372,0.288379
4173.72,24.3417,89.486,24.3417,89.486,0.28919,0.289197
4249.79,24.8526,89.5099,24.8526,89.5099,0.289986,0.289992
4327.25,25.3716,89.5326,25.3716,89.5326,0.29076,0.290765
4406.13,25.899,89.5541,25.899,89.5541,0.291512,0.291517
4486.44,26.4349,89.5745,26.4349,89.5745,0.292242,0.292247
4568.22,26.9795,89.5938,26.9795,89.5938,0.292952,0.292957
4651.48,27.5329,89.6122,27.5329,89.6122,0.293641,0.293646
4736.26,28.0953,89.6296,28.0953,89.6296,0.294311,0.294314
4822.59,28.6669,89.6461,28.6669,89.6461,0.29496,0.294964
4910.5,29.248,89.6617,29.248,89.6617,0.29559,0.295594
5000,29.8386,89.6766,29.8386,89.6766,0.296201,0.296205
