f_Hz,ReZdd_fpll30,ReZqq_fpll30,ReZdd_fpll100,ReZqq_fpll100
29.4747,32.9693,-17.7748,33.9289,-29.7779
29.9659,32.9362,-17.5083,33.8937,-29.6579
30.4654,32.9029,-17.2403,33.8572,-29.5346
30.9731,32.8692,-16.9707,33.8196,-29.408
31.4893,32.8352,-16.6997,33.7807,-29.2781
32.0142,32.801,-16.4274,33.7405,-29.1446
32.5477,32.7664,-16.1536,33.699,-29.0077
33.0902,32.7314,-15.8786,33.6563,-28.8673
33.6417,32.6961,-15.6024,33.6121,-28.7232
34.2024,32.6605,-15.3251,33.5666,-28.5754
34.7725,32.6244,-15.0466,33.5198,-28.4239
35.352,32.588,-14.7671,33.4715,-28.2686
35.9412,32.5511,-14.4867,33.4217,-28.1095
36.5402,32.5138,-14.2053,33.3705,-27.9464
37.1492,32.4761,-13.9232,33.3178,-27.7795
37.7684,32.4379,-13.6404,33.2636,-27.6085
38.3979,32.3991,-13.3569,33.2079,-27.4335
39.0378,32.3598,-13.0728,33.1505,-27.2544
39.6885,32.32,-12.7883,33.0916,-27.0712
40.35,32.2795,-12.5035,33.0311,-26.8838
41.0225,32.2384,-12.2183,32.9689,-26.6923
41.7062,32.1966,-11.933,32.9051,-26.4965
42.4013,32.1541,-11.6477,32.8395,-26.2964
43.108,32.1109,-11.3623,32.7723,-26.0921
43.8264,32.0669,-11.0772,32.7033,-25.8834
44.5569,32.022,-10.7923,32.6325,-25.6705
45.2995,31.9762,-10.5079,32.5599,-25.4531
46.0545,31.9295,-10.224,32.4855,-25.2315
46.8221,31.8818,-9.94068,32.4092,-25.0055
47.6025,31.833,-9.65821,32.3311,-24.7751
48.3958,31.7832,-9.37666,32.2511,-24.5404
49.2024,31.7322,-9.09619,32.1691,-24.3014
50.0225,31.6799,-8.81692,32.0852,-24.0581
50.8562,31.6264,-8.53901,31.9993,-23.8104
51.7038,31.5715,-8.26261,31.9114,-23.5585
52.5655,31.5152,-7.98785,31.8214,-23.3024
53.4416,31.4574,-7.7149,31.7295,-23.0421
54.3323,31.3981,-7.44391,31.6354,-22.7776
55.2379,31.3371,-7.17503,31.5392,-22.509
56.1585,31.2743,-6.90842,31.441,-22.2364
57.0945,31.2098,-6.64423,31.3405,-21.9599
58.0461,31.1434,-6.38261,31.2379,-21.6795
59.0135,31.0751,-6.12373,31.1331,-21.3952
59.9971,31.0047,-5.86773,31.026,-21.1072
60.9971,30.9321,-5.61476,30.9167,-20.8156
62.0137,30.8573,-5.36498,30.8051,-20.5205
63.0472,30.7802,-5.11853,30.6912,-20.222
64.098,30.7007,-4.87556,30.575,-19.9202
65.1663,30.6187,-4.63621,30.4565,-19.6152
66.2525,30.5341,-4.40062,30.3355,-19.3072
67.3567,30.4468,-4.16891,30.2122,-18.9962
68.4793,30.3567,-3.94121,30.0864,-18.6826
69.6206,30.2637,-3.71765,29.9582,-18.3663
70.781,30.1677,-3.49835,29.8275,-18.0476
71.9607,30.0686,-3.28341,29.6943,-17.7266
73.16,29.9664,-3.07293,29.5586,-17.4035
74.3794,29.8608,-2.86702,29.4204,-17.0784
75.619,29.7519,-2.66576,29.2795,-16.7517
76.8793,29.6395,-2.46924,29.1361,-16.4233
78.1607,29.5236,-2.27752,28.99,-16.0937
79.4634,29.404,-2.09067,28.8413,-15.7628
80.7878,29.2806,-1.90875,28.69,-15.4311
82.1342,29.1534,-1.7318,28.5359,-15.0985
83.5031,29.0223,-1.55986,28.3791,-14.7655
84.8949,28.8872,-1.39297,28.2195,-14.4321
86.3098,28.748,-1.23114,28.0572,-14.0986
87.7483,28.6047,-1.07439,27.8921,-13.7653
89.2108,28.4572,-0.922714,27.7242,-13.4323
90.6976,28.3054,-0.776108,27.5534,-13.0999
92.2093,28.1493,-0.634556,27.3798,-12.7683
93.7461,27.9888,-0.498035,27.2034,-12.4377
95.3086,27.8238,-0.36651,27.024,-12.1084
96.897,27.6545,-0.239941,26.8418,-11.7805
98.512,27.4806,-0.118277,26.6566,-11.4543
100.154,27.3022,-0.00146093,26.4685,-11.1301
101.823,27.1192,0.110573,26.2774,-10.808
103.52,26.9317,0.217897,26.0835,-10.4882
105.246,26.7397,0.32059,25.8865,-10.171
107,26.5432,0.418739,25.6866,-9.85658
108.783,26.3421,0.512436,25.4838,-9.54512
110.596,26.1365,0.601778,25.2781,-9.23684
112.439,25.9265,0.686867,25.0694,-8.93191
114.313,25.7121,0.767812,24.8577,-8.63054
116.219,25.4933,0.844724,24.6432,-8.33288
118.156,25.2702,0.917717,24.4258,-8.03912
120.125,25.0429,0.986912,24.2055,-7.74943
122.127,24.8115,1.05243,23.9825,-7.46394
124.162,24.5761,1.11439,23.7566,-7.18281
126.232,24.3366,1.17292,23.528,-6.90619
128.336,24.0934,1.22815,23.2967,-6.63419
130.475,23.8464,1.2802,23.0627,-6.36693
132.649,23.5959,1.32921,22.8261,-6.10453
134.86,23.3418,1.37529,22.5871,-5.84709
137.108,23.0845,1.41859,22.3455,-5.59469
139.393,22.824,1.45921,22.1016,-5.34742
141.716,22.5605,1.49729,21.8554,-5.10535
144.078,22.2942,1.53295,21.607,-4.86853
146.479,22.0252,1.56631,21.3565,-4.63701
148.921,21.7536,1.59749,21.1039,-4.41085
151.403,21.4798,1.62661,20.8495,-4.19006
153.926,21.2039,1.65377,20.5932,-3.97467
156.492,20.926,1.6791,20.3353,-3.76468
159.1,20.6463,1.70269,20.0758,-3.56011
161.751,20.3651,1.72465,19.8149,-3.36094
164.447,20.0826,1.74508,19.5527,-3.16716
167.188,19.7989,1.76407,19.2893,-2.97874
169.975,19.5143,1.78172,19.0249,-2.79565
172.808,19.2289,1.79812,18.7596,-2.61786
175.688,18.943,1.81335,18.4936,-2.44531
178.616,18.6567,1.82749,18.2271,-2.27794
181.593,18.3703,1.84061,17.9601,-2.11571
184.619,18.0839,1.8528,17.6929,-1.95853
187.696,17.7979,1.86411,17.4255,-1.80635
190.825,17.5122,1.87462,17.1582,-1.65908
194.005,17.2272,1.88437,16.8911,-1.51663
197.238,16.9431,1.89344,16.6244,-1.37893
200.526,16.6599,1.90187,16.3582,-1.24589
203.868,16.378,1.90971,16.0927,-1.1174
207.266,16.0974,1.917,15.828,-0.993376
210.72,15.8184,1.9238,15.5644,-0.873716
214.232,15.541,1.93013,15.3019,-0.758318
217.803,15.2656,1.93604,15.0406,-0.647079
221.433,14.9921,1.94156,14.7809,-0.539897
225.123,14.7208,1.94672,14.5227,-0.436666
228.876,14.4517,1.95154,14.2662,-0.337281
232.69,14.1851,1.95605,14.0117,-0.241636
236.568,13.9211,1.96027,13.7591,-0.149625
240.511,13.6597,1.96423,13.5086,-0.0611439
244.52,13.4011,1.96793,13.2604,0.0239124
248.595,13.1454,1.9714,13.0145,0.105647
252.738,12.8927,1.97465,12.7711,0.184163
256.951,12.6431,1.97769,12.5302,0.25956
261.233,12.3966,1.98054,12.2921,0.331939
265.587,12.1533,1.98319,12.0566,0.401396
270.014,11.9134,1.98566,11.824,0.468028
274.514,11.6768,1.98795,11.5944,0.531927
279.089,11.4436,1.99007,11.3677,0.593187
283.741,11.2139,1.99203,11.1441,0.651895
288.47,10.9877,1.99381,10.9236,0.708139
293.278,10.7651,1.99543,10.7063,0.762004
298.166,10.546,1.99689,10.4922,0.813571
303.135,10.3305,1.99819,10.2813,0.86292
308.187,10.1187,1.99932,10.0738,0.910129
313.324,9.91049,2.00028,9.86956,0.955272
318.546,9.70594,2.00108,9.6687,0.998421
323.855,9.50502,2.00171,9.47121,1.03965
329.253,9.30775,2.00216,9.27711,1.07901
334.74,9.11412,2.00244,9.0864,1.11659
340.319,8.92412,2.00254,8.89909,1.15243
345.991,8.73773,2.00246,8.71517,1.18661
351.758,8.55492,2.00219,8.53465,1.21917
357.62,8.37569,2.00173,8.35751,1.25017
363.581,8.2,2.00107,8.18373,1.27967
369.641,8.02782,2.00022,8.01331,1.30771
375.801,7.85912,1.99916,7.84621,1.33435
382.065,7.69386,1.99789,7.68241,1.35963
388.432,7.53201,1.99641,7.52189,1.38359
394.906,7.37352,1.99472,7.36461,1.40628
401.488,7.21835,1.9928,7.21053,1.42774
408.18,7.06645,1.99065,7.05963,1.44801
414.983,6.91778,1.98827,6.91186,1.46712
421.899,6.77228,1.98566,6.76717,1.48511
428.931,6.62992,1.9828,6.62554,1.50202
436.08,6.49062,1.97971,6.4869,1.51787
443.348,6.35435,1.97636,6.35122,1.5327
450.737,6.22105,1.97276,6.21844,1.54653
458.249,6.09066,1.9689,6.08852,1.5594
465.887,5.96312,1.96478,5.9614,1.57133
473.652,5.83839,1.9604,5.83704,1.58235
481.546,5.71639,1.95574,5.71537,1.59248
489.572,5.59709,1.95082,5.59635,1.60174
497.731,5.48041,1.94562,5.47993,1.61016
506.027,5.3663,1.94014,5.36604,1.61775
514.461,5.25471,1.93438,5.25464,1.62455
523.035,5.14557,1.92833,5.14567,1.63056
531.752,5.03884,1.922,5.03908,1.6358
540.615,4.93444,1.91537,4.9348,1.64031
549.625,4.83233,1.90846,4.8328,1.64408
558.786,4.73245,1.90125,4.733,1.64714
568.099,4.63475,1.89374,4.63537,1.6495
577.567,4.53916,1.88594,4.53984,1.65118
587.194,4.44565,1.87783,4.44637,1.65219
596.98,4.35414,1.86943,4.3549,1.65255
606.93,4.2646,1.86072,4.26539,1.65227
